term_id,term,cluster_id,domain,membership_probability,is_representative,labeling_method,evidence
term_5cdcf9cf1a2d52d3887b,Share of total population not having indoor flushing toilet for the sole use of their household,cluster_e7d0c36b4e48,population and demography,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_452027397b2cdcf36d77,Share of total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey,cluster_e7d0c36b4e48,population and demography,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_a03bdea9a2c1ac178e82,"Short sea shipping - country level - gross weight of goods transported to/from main ports, by direction",cluster_436a35bf5d70,transport,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6680911486169095, ""economy and finance"": 0.6993370570124587, ""environment and energy"": 0.6612407709431416, ""industry, trade, and services"": 0.6961852515140688, ""transport"": 0.7806940761400575}, ""source"": ""hdbscan_pearl_small""}"
term_9a3dacd0972009bf63b3,"Short sea shipping - country level - volume (in TEUs) of containers transported to/from main ports, by loading status",cluster_436a35bf5d70,transport,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6680911486169095, ""economy and finance"": 0.6993370570124587, ""environment and energy"": 0.6612407709431416, ""industry, trade, and services"": 0.6961852515140688, ""transport"": 0.7806940761400575}, ""source"": ""hdbscan_pearl_small""}"
term_c179b5f3ca305b4b45df,"Short sea shipping - EU level - gross weight of goods transported to/from main ports, by type of cargo for each sea region of partner ports",cluster_436a35bf5d70,transport,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6680911486169095, ""economy and finance"": 0.6993370570124587, ""environment and energy"": 0.6612407709431416, ""industry, trade, and services"": 0.6961852515140688, ""transport"": 0.7806940761400575}, ""source"": ""hdbscan_pearl_small""}"
term_3bdd979f3dc7ba4e0a66,Social protection expenditure excluding administrative costs (including health expenditure),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_d5170af9bd18d3defe26,Social protection expenditure excluding administrative costs (including health expenditure) - % of GDP - ENP-East countries,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_908f14554d236f99c580,Standardised death rate due to homicide by sex,cluster_08676e4a8f67,cross-domain or other,0.808298,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""environment and energy"": 0.6265151244861141, ""health"": 0.7445838198500743, ""population and demography"": 0.7158470017582006, ""social conditions and equality"": 0.6993057268964641, ""transport"": 0.6316672361559459}, ""source"": ""hdbscan_pearl_small""}"
term_2f610bfeb326156a6008,"Standardised death rate due to tuberculosis, HIV and hepatitis by type of disease",cluster_08676e4a8f67,cross-domain or other,0.719123,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""environment and energy"": 0.6265151244861141, ""health"": 0.7445838198500743, ""population and demography"": 0.7158470017582006, ""social conditions and equality"": 0.6993057268964641, ""transport"": 0.6316672361559459}, ""source"": ""hdbscan_pearl_small""}"
term_2628c6a89a9f36655b7d,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and employment status,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_81d71c36ce39beb87a6b,Students in post-compulsory education - as % of the total population of post-compulsory school age,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_1525307af6e8b30b1efb,Subjective poverty by educational attainment level (population aged 18 and over),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
