term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_b24eebc0b3af6b6b4aa0,At risk-of-poverty rate for the population living in (quasi-)jobless households,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_45bf5b16cdb715570f1d""]",run_5f8127cf8e6be829b1ac
term_6344e0456def1c9ee015,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17),measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_f53388b83b08b96d850b""]",run_5f8127cf8e6be829b1ac
term_213859f5d72fd3eaad3d,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17),measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_134c002235bbfb5d9ce2""]",run_5f8127cf8e6be829b1ac
term_1d11dca31232a36ebf76,Average expenditure per night,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_844b8921d0343c2c8813""]",run_5f8127cf8e6be829b1ac
term_06fd140352484b25e43e,Average expenditure per trip,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_e9d464bccddf36ff2d45""]",run_5f8127cf8e6be829b1ac
term_335951c32d8d2116b9f0,Average population (mid-year),measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_cdccfd1462ea746a502b""]",run_5f8127cf8e6be829b1ac
term_424bd938c951afe537f5,Average population mid-year by sex and age group,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_b01a7b503036b08ef745""]",run_5f8127cf8e6be829b1ac
term_0f501f4a2588acc2b10d,Average population mid-year by sex and age group - ENP-South countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_44962ff2858fb0e80147""]",run_5f8127cf8e6be829b1ac
term_b82538563afbccd385b6,"Barley by area, production and humidity",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_248acdddea39bd8432d7""]",run_5f8127cf8e6be829b1ac
term_b90af556331316163672,basic and producer prices,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_6046bf9bf4495988c101"", ""occ_7092ab4e777c13395694"", ""occ_bf1f5cf25a152517b9fe"", ""occ_eeaa97cfeb6ce7617b9f""]",run_5f8127cf8e6be829b1ac
term_2d69baedc15824c81811,Buses and coaches traffic performance registered in the by transport covarage,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_02f41c0fc01074f87c5b""]",run_5f8127cf8e6be829b1ac
term_318cf2b1f91f6cc6d9ec,Carrying capacity of the waterway transport enterprises vessels by number of vessels in enterprises,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_46d3e8dac890c919c71b""]",run_5f8127cf8e6be829b1ac
