term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_66732f938ee1a81097cf,The real gross disposable income of households per capita (index =),measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_780232b16aff917fffd7""]",run_cf189fe93ed005701355
term_76d03b1fd60c94b8c1f4,Tier-1 capital ratio banking sector,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_25a0478b25453050c589""]",run_cf189fe93ed005701355
term_a8fa375721620854b3b4,Time spent alone (and),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_7dc18d5b6734f89b275f""]",run_cf189fe93ed005701355
term_08992956dc85abe5f27b,Time spent doing more than one activity simultaneously (and),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_f435c6a3b6751230b24e""]",run_cf189fe93ed005701355
term_c09b32d6edee8fcd861e,Time spent in unpaid forms of work (as main or secondary activity) by sex and form of work (and),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_5815afbd437b17ae8c81""]",run_cf189fe93ed005701355
term_43b002e4fa9187e1554f,Time spent on eating at home (as main or secondary activity) (and),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_e4a481c0fdbd0a616e3c""]",run_cf189fe93ed005701355
term_0909d04619556ce772ab,Time spent on travelling by mode of transport (and),measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_abfdb7ca764bdc03caf6""]",run_cf189fe93ed005701355
term_89bc6acd128165c676ec,Time spent providing childcare (as main or secondary activity) (and),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_62500812d3f31c0d1e67""]",run_cf189fe93ed005701355
term_d319bdc10e354bb2255b,"Time spent watching TV or other media, playing computer games and any similar screen activities (as main or secondary activity) (and)",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_45e9bd39b2d976d9b7b0""]",run_cf189fe93ed005701355
term_934d7c4c91e3d4b41e67,tkm,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_9ea1a28b21165caf98bc""]",run_cf189fe93ed005701355
term_2093f2bfb230bb1cb4af,tonne-kilometre,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_feeebd67cf0833b748fe""]",run_cf189fe93ed005701355
term_86abbb5ee0e4f2df83c6,tonne-kilometre for gross-gross weight of goods,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_9ef4c88ae946bb4b7f6f""]",run_cf189fe93ed005701355
term_e1b9ed5da3db1ac7c1c0,tonnes for gross weight of goods,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_17a60ffa64cea8d77359""]",run_cf189fe93ed005701355
term_1145d61682b8574fefad,Top 5 ports - gross weight of goods handled in each port,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_6479125900658c54f873""]",run_cf189fe93ed005701355
term_3c0b32f734d34a5f1b99,Top 5 ports for containers,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_04f53437e210ccbe2999""]",run_cf189fe93ed005701355
term_8dffc38ae38fc124a5de,Top 5 ports for containers - gross weight of goods in containers handled in each port,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_68edd695e5380e0fa227""]",run_cf189fe93ed005701355
term_9bedcab28ed1c44237e4,Top 5 ports for liquid bulk,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_b3505ea455a2f124f733""]",run_cf189fe93ed005701355
term_cb5acf0784b47db0c86b,Top 5 ports for liquid bulk - gross weight of liquid bulk goods handled in each port,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_912fa185df7a563b2537""]",run_cf189fe93ed005701355
term_24d4f70cfecb8c4a9a09,Top 5 ports for Ro-ro units,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_6c1a52bf52d393fe97f5""]",run_cf189fe93ed005701355
term_e8bb6649bc08e6774829,Top 5 ports for Ro-ro units - gross weight of goods in Ro-Ro units handled in each port,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_b9f7966145f338e0f240""]",run_cf189fe93ed005701355
